dishes_id,dishes_name,amounts
610062,蒜蓉生蚝,49
609957,"蒙古烤羊腿


",48
609950,大蒜苋菜,30
610038,芝麻烤紫菜,25
610003,蒜香包,13
610019,白斩鸡,88
609991,"香烤牛排
",55
609983,干锅田鸡,88
609981,桂圆枸杞鸽子汤,48
610030,番茄有机花菜,32
610011,白饭/大碗,10
609966,芝士烩波士顿龙虾,175
609965,葱姜炒蟹,109
609936,皮蛋瘦肉粥,16
609978,爆炒鳝碌,55
610050,番茄甘蓝,33
609984,重庆特色油烧兔,69
610013,番茄炖秋葵,35
610032,长城窖酿解百纳红酒干红葡萄酒,35
609973,紫薯面包卷,20
610007,桂圆肉红豆八宝饭,39
609964,避风塘炒蟹,48
609992,"番茄炖牛腩


",35
610012,香菇鹌鹑蛋,39
610064,花蛤蒸蛋,37
610023,啤酒鸭,48
609931,焖猪手,58
609930,豌豆薯仔猪骨汤,39
609959,"小炒羊腰


",36
609935,山药养生粥,19
609937,冰糖红豆薏米粥,15
609934,芹菜炒腰花,18
609938,小米南瓜粥,13
609939,香菇鸡肉粥,15
609943,剁椒鱼头,55
609945,农夫山泉NFC果汁100%橙汁,6
609944,水煮鱼,65
610016,五彩藕苗,35
609946,谷稻小庄 ,38
609948,露露无糖杏仁露,7
609947, 北冰洋汽水 ,5
609949,意文柠檬汁 ,13
609952,美妙绝伦之白莲花,29
609951,炝炒大白菜,29
609954,凉拌蒜蓉西兰花,29
609956,孜然羊排,88
609953,凉拌菠菜,27
609955,红酒炖羊肉,108
609968,油焖麻辣虾,65
609958,"香辣爆羊肝


",28
610071, 42度海之蓝,99
609989,青岛啤酒罐装,7
609996,牛尾汤,40
609994,"独家薄荷鲜虾牛肉卷


",45
610047,西瓜胡萝卜沙拉,26
609962,倒立蒸梭子蟹,169
610052,黄油曲奇饼干,16
610008,五色糯米饭(七色),35
609971,大理石奶油蛋糕,13
610072,53度茅台,128
610056,纸杯蛋糕,8
610044,木须豌豆,32
610021,爆炒鸡翅,56
609990,特醇嘉士伯啤酒罐装,6
609988,百威啤酒罐装,6
609942,辣炒鱿鱼,58
610028,培根花菜,35
609963,盘蟹蒸蛋,55
609932,爆炒猪肝,68
610043,肉丁茄子,39
609960,白胡椒胡萝卜羊肉汤,35
610025,番茄蛋汤,25
610010,白饭/小碗,1
610039,培根紫菜卷,30
610031,糖醋蕃茄溜青花,33
610018,"照烧鸡腿


",16
609969,香辣腐乳炒虾,56
610069,50度古井贡酒,90
609999,鱼香肉丝拌面,18
609975,一品香酥藕,10
609993,百里香奶油烤红酒牛肉,178
609933,自制猪肉脯,48
610027,清炒菊花菜,30
610057,宝宝版牛肉肠粉,15
610004,南瓜芝士包,10
610035,黄尾袋鼠西拉子红葡萄酒,46
609998,清爽拌凉面,15
610009,黑米恋上葡萄,33
610063,蒜香辣花甲,45
610017,酸辣藕丁,33
609982,"五香酱驴肉


",52
610036,路易拉菲红酒干红,158
609970,麻辣小龙虾,99
609941,清蒸海鱼,78
610034,法国波尔多AOC干红葡萄酒原,159
609967,香酥两吃大虾,89
610014,金玉良缘,30
610053,蛋挞,8
610015,葱油凉拌藕片,30
609974,南瓜枸杞小饼干,19
610024,"红酒土豆烧鸭腿
",48
610000,酸辣汤面,16
610060,广式虾仁肠粉,18
610037,辣炒海带丝,19
606106,铁板牛肉,66
609985,三色凉拌手撕兔,66
610054,不加一滴油的酸奶蛋糕,7
610001,土豆西红柿汤面,13
609972,核桃葡萄干土司,19
606057,"张裕葡萄酒张裕赤霞珠干红


",32
609961,姜葱炒花蟹,45
610042,五彩豆,29
610066,辣炒田螺,35
609940,清蒸蝶鱼,56
610029,黄花菜炒木耳,35
610046,青炒扁豆,28
609987,蓝带啤酒罐装,9
609986,哈尔滨啤酒罐装,7
610055,葡萄奶酥(超酥香的饼干),9
610026,玉竹南北杏鸭腿汤,35
609997,打卤面,26
610033,"张裕葡萄酒张裕赤霞珠干红


",32
609976,芹黄鳝丝,58
610002,老式面包,19
610020,"泡椒凤爪
",58
610059,鸡蛋、肉末肠粉,13
610051,凉拌萝卜丝,20
609977,快炒黄鳝,50
610048,拌土豆丝,25
610068,38度剑南春 ,80
610070,52度泸州老窖 ,159
609979,鲜美鳝鱼,55
609995,"党参黄芪炖牛尾


",35
610061,牛肉鸡蛋肠粉,20
610041,凉拌海带豆芽紫菜,35
610022,杭椒鸡珍,58
609980,三丝鳝鱼,55
610065,辣炒花蛤,35
610049,爆炒双丝,35
610006,咖啡奶香面包,16
610005,牛奶卷,17
610040,海带结豆腐汤,30
610067,冰镇花螺,35
610045,冬瓜炒苦瓜,29
610058,超人气广式肠粉,18
609707,百里香奶油烤紅酒牛肉,178
