国家名称,年份,幸福指数,经济生产,社会支持,预期寿命,自由,慷慨
China,2006,4.56,8.696,0.747,66.88,,
China,2007,4.863,8.824,0.811,67.06,,-0.176
China,2008,4.846,8.911,0.748,67.24,0.853,-0.092
China,2009,4.454,8.996,0.798,67.42,0.771,-0.16
China,2010,4.653,9.092,0.768,67.6,0.805,-0.133
China,2011,5.037,9.179,0.787,67.76,0.824,-0.186
China,2012,5.095,9.249,0.788,67.92,0.808,-0.185
China,2013,5.241,9.319,0.778,68.08,0.805,-0.158
China,2014,5.196,9.386,0.82,68.24,,-0.217
China,2015,5.304,9.449,0.794,68.4,,-0.244
China,2016,5.325,9.51,0.742,68.7,,-0.228
China,2017,5.099,9.571,0.772,69,0.878,-0.175
China,2018,5.131,9.632,0.788,69.3,0.895,-0.159
China,2019,5.144,9.688,0.822,69.6,0.927,-0.173
China,2020,5.771,9.702,0.808,69.9,0.891,-0.103
